filename,arxiv_id,doi,title_extracted,openalex_found,openalex_title,authors_count,publication_year,authors,institutions,concepts
2506.08388v3.pdf,2506.08388,,Reinforcement Learning Teachers of Test Time Scaling EdoardoCetin,True,The qualitative content analysis process,2,2008,Satu Elo; Helvi Kyngäs,Oulu University of Applied Sciences; University of Oulu,Operationalization; Content analysis; Phenomenon; Computer science; Content (measure theory); Inductive reasoning; Qualitative analysis; Process (computing); Deductive reasoning; Inductive method; Qualitative research; Epistemology; Artificial intelligence; Psychology; Mathematics; Mathematics education; Sociology; Philosophy; Mathematical analysis; Teaching method; Operating system; Social science
2506.12365v2.pdf,2506.12365,,Advances in LLMs with Focus on Reasoning,True,"Advances in LLMs with Focus on Reasoning, Adaptability, Efficiency and Ethics",8,2025,Asifullah Khan; Muhammad Zahoor Khan; Saleha Jamshed; Sadia Ahmad; A. N. Zainab; Kaynat Khatib; Fatima Bibi; Abdul Rehman,,
2506.15799v2.pdf,2506.15799,,Steering Your Diffusion Policy with Latent Space Reinforcement Learning AndrewWagenmaker MitsuhikoNakamoto YunchuZhang,True,Steering Your Diffusion Policy with Latent Space Reinforcement Learning,8,2025,Andrew Wagenmaker; Mitsuhiko Nakamoto; Yunchu Zhang; Seohong Park; Waleed Yagoub; Anusha Nagabandi; Abhishek Gupta; Sergey Levine,,
2506.15841v2.pdf,2506.15841,,MEM1: Learning to Synergize Memory and Reasoning for Efficient Long-Horizon Agents ZijianZhou*12 AoQu*13 ZhaoxuanWu1 SunghwanKim4,True,A Simple LLM Framework for Long-Range Video Question-Answering,7,2023,C. Zhang; Taixi Lu; Md. Mohaiminul Islam; Ziyang Wang; Shoubin Yu; Mohit Bansal; Gedas Bertasius,,Computer science; Question answering; Benchmark (surveying); Range (aeronautics); Simple (philosophy); Term (time); Frame (networking); Language model; Artificial intelligence; Telecommunications; Physics; Composite material; Quantum mechanics; Geodesy; Epistemology; Philosophy; Geography; Materials science
2506.17188v1.pdf,2506.17188,,Towards AI Search Paradigm YuchenLi,True,Video Coding for Machines: A Paradigm of Collaborative Compression and Intelligent Analytics,5,2020,Ling‐Yu Duan; Jiaying Liu; Wenhan Yang; Tiejun Huang; Wen Gao,Peking University,Computer science; Data compression; Artificial intelligence; Coding (social sciences); Video compression picture types; Computer vision; Multiview Video Coding; Analytics; Standardization; Fidelity; Context-adaptive binary arithmetic coding; Machine vision; Video tracking; Video processing; Data mining; Operating system; Statistics; Telecommunications; Mathematics
2506.17298v1.pdf,2506.17298,,Mercury: Ultra-Fast Language Models Based on Diffusion Inception Labs Samar Khanna*,True,"Generative artificial intelligence in drug discovery: basic framework, recent advances, challenges, and opportunities",7,2024,Amit Gangwal; M. Azim Ansari; Iqrar Ahmad; Abul Kalam Azad; Vinoth Kumarasamy; Vetriselvan Subramaniyan; Ling Shing Wong,INTI International University; Lovely Professional University; Monash University Malaysia; National University of Malaysia; Shri Vile Parle Kelavani Mandal,Drug discovery; Computer science; Generative grammar; Virtual screening; Artificial intelligence; Context (archaeology); Data science; Drug repositioning; Repurposing; Generative model; Drug development; Drug; Engineering; Bioinformatics; Medicine; Pharmacology; Paleontology; Biology; Waste management
2506.19676v4.pdf,2506.19676,,A Survey of LLM-Driven AI Agent Communication: Protocols,True,"A Survey of LLM-Driven AI Agent Communication: Protocols, Security Risks, and Defense Countermeasures",19,2025,"Dezhang Kong; Lin Shi; Zhenhua Xu; Z. D. Wang; Minghao Li; Yufeng Li; Yifan Zhang; Hujin Peng; Zeyang Sha; Yuyuan Li; Changting Lin; Xun Wang; Xuan Liu; Ningyu Zhang; Chaochao Chen; Muhammad Khurram Khan; Meng Han; Khan, Muhammad Khurram; Han, Meng",,
2506.20430v2.pdf,2506.20430,,An Agentic System for Rare Disease Diagnosis with Traceable Reasoning Weike Zhao1,True,An agentic system for rare disease diagnosis with traceable reasoning,15,2026,Weike Zhao; Chaoyi Wu; Ye Fan; Pengcheng Qiu; Xiaoman Zhang; Yuze Sun; Xiao Zhou; Shuju Zhang; Yu Peng; Ya Zhang; Xin Sun; Ya Zhang; Yongguo Yu; Kun Sun; Weidi Xie,Beijing Academy of Artificial Intelligence; Harvard University; Hunan Children's Hospital; Shandong Jiaotong University; Shanghai Artificial Intelligence Laboratory; Shanghai Clinical Research Center; Shanghai FRP Research Institute (China); Shanghai Jiao Tong University; XinHua Hospital,Rare disease; Disease; Ontology; Rare events; Computer science; Affect (linguistics); Verifiable secret sharing; Medicine; Genetic testing; Psychology; Genetic diagnosis; Data science; Artificial intelligence; Risk analysis (engineering); MEDLINE; Differential diagnosis; Expert system; Medical diagnosis; Cognitive psychology; Clinical phenotype; Work (physics); Model-based reasoning; Medical decision making; Best practice; Decision support system; Clinical decision support system; Machine learning; Medical knowledge; Work-up
2506.21552v1.pdf,2506.21552,,Whole-Body Conditioned Egocentric Video Prediction YutongBai∗1 DannyTran∗1 AmirBar∗2,True,Whole-Body Conditioned Egocentric Video Prediction,6,2025,Yutong Bai; Danny Tran; Amir Bar; Yann LeCun; Trevor Darrell; Jitendra Malik,,
alphagenome.pdf,,,AlphaGenome: advancing regulatory variant effect prediction with a unified DNA sequence ŽigaAvsec1*Q,True,AlphaGenome: advancing regulatory variant effect prediction with a unified DNA sequence model,27,2025,Žiga Avsec; Natasha S. Latysheva; Jun Cheng; Guido Novati; Kyle R. Taylor; Tom Ward; Clare Bycroft; Lauren Nicolaisen; Eirini Arvaniti; Joshua Pan; Raina W. Thomas; Vincent Dutordoir; Matteo Perino; S. P. M. Boer De; Alexander Karollus; Adam Gayoso; Tobias Sargeant; Anne Mottram; Lai Hong Wong; Pavol Drotár; Adam R. Kosiorek; Andrew Senior; Richard Tanburn; Taylor Applebaum; Souradeep Basu; Demis Hassabis; Pushmeet Kohli,DeepMind (United Kingdom); Google (United States),Sequence (biology); Computational biology; DNA sequencing; DNA; Computer science; Genetics; Biology
